Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
CR023,"Kacang mentega, kering (Peanut butter fruit, fresh)",Bunchosia armeniaca,,Kacang-Kacangan,Mentah (Raw),,: 13.7 g,: 344 Kal,: 16.7 g,: 2.1 g,: 64.6 g,: 2.9 g,: 110 mg,: 300 mg,: 6.7 mg,: 1 mg,: 10.0 mg,: 0.70 mg,: 2.5 mg,: 0.07 mg,: 1.2 mg,: 13.0 g,,: 0 mcg,,: 0.21 mg,
CR024,"Kacang merah /banda, kering (Kidney bean, dried)",Phaseolus vulgaris,,Kacang-Kacangan,Mentah (Raw),,: 13.0 g,: 350 Kal,: 13.9 g,: 3.0 g,: 66.9 g,: 3.2 g,: 84 mg,: 242 mg,: 6.8 mg,: 19 mg,": 1,127.0 mg",: 0.00 mg,: 42.0 mg,: 0.76 mg,: 0.3 mg,: 26.3 g,,: 137 mcg,,: 0.15 mg,
CP008,"Kacang merah kering, rebus",,,Kacang-Kacangan,Olahan (Processed),,: 59.6 g,: 158 Kal,: 10.3 g,: 0.9 g,: 28.2 g,: 1.0 g,: 160 mg,: 149 mg,: 3.7 mg,: 6 mg,: 311.0 mg,: 0.27 mg,: 1.5 mg,: 0.09 mg,: 0.8 mg,: 2.6 g,,,,: 0.20 mg,
CP009,"Kacang merah segar, rebus",,,Kacang-Kacangan,Olahan (Processed),,: 63.1 g,: 144 Kal,: 10.0 g,: 1.0 g,: 24.7 g,: 1.2 g,: 144 mg,: 150 mg,: 2.8 mg,: 6 mg,: 311.0 mg,: 0.27 mg,: 1.5 mg,: 0.08 mg,: 0.7 mg,: 3.5 g,,: 0 mcg,,: 0.10 mg,
CR025,"Kacang merah tua, kering (Dark red kidney bean, dried)",Phaseolus vulgaris,,Kacang-Kacangan,Mentah (Raw),,: 12.3 g,: 280 Kal,: 16.7 g,: 1.6 g,: 63.2 g,: 6.2 g,: 209 mg,: 335 mg,: 6.4 mg,: 19 mg,": 1,348.5 mg",: 0.69 mg,: 2.8 mg,: 0.08 mg,: 2.0 mg,: 4.6 g,,,,: 0.10 mg,: 6 mg
CR026,"Kacang merah, kering (Kidney bean, kering)",Phaseolus vulgaris,,Kacang-Kacangan,Mentah (Raw),,: 17.7 g,: 314 Kal,: 22.1 g,: 1.1 g,: 56.2 g,: 2.9 g,: 502 mg,: 429 mg,: 10.3 mg,: 11 mg,": 1,265.5 mg",: 0.65 mg,: 2.6 mg,: 0.72 mg,: 2.2 mg,: 4.0 g,,: 129 mcg,,: 0.40 mg,
CR027,"Kacang merah, segar (Kidney bean, fresh)",Phaseolus vulgaris,,Kacang-Kacangan,Mentah (Raw),,: 57.2 g,: 171 Kal,: 11.0 g,: 2.2 g,: 28.0 g,: 1.7 g,: 293 mg,: 134 mg,: 3.7 mg,: 7 mg,: 360.7 mg,: 0.34 mg,: 1.4 mg,: 0.15 mg,: 1.1 mg,: 2.1 g,,: 0 mcg,: 10 mcg,: 0.15 mg,
CP010,"Kacang mete/biji jambu monyet, goreng",,,Kacang-Kacangan,Olahan (Processed),,: 1.0 g,: 629 Kal,: 20.4 g,: 56.3 g,: 19.8 g,: 2.5 g,: 502 mg,: 493 mg,: 8.0 mg,: 13 mg,: 641.7 mg,: 4.70 mg,: 5.4 mg,: 0.22 mg,: 1.8 mg,: 1.1 g,,: 5 mcg,,: 0.37 mg,
CR028,"Kacang mete/biji jambu monyet, segar (Cashew nut, mentah)",Anacardium occidentale,,Kacang-Kacangan,Mentah (Raw),,: 4.6 g,: 616 Kal,: 16.3 g,: 48.4 g,: 28.7 g,: 2.0 g,: 26 mg,: 521 mg,: 3.8 mg,: 26 mg,: 692.0 mg,: 4.70 mg,: 4.1 mg,: 0.03 mg,: 0.0 mg,: 0.9 g,,: 5 mcg,,: 0.64 mg,
CP033,Kacang negara,,,Kacang-Kacangan,Olahan (Processed),,: 3.1 g,: 480 Kal,: 18.4 g,: 19.1 g,: 58.5 g,: 0.9 g,: 34 mg,: 404 mg,: 10.3 mg,": 1,010 mg",: 385.0 mg,: 2.50 mg,: 7.1 mg,: 0.05 mg,: 2.6 mg,: 11.7 g,,,,: 0.63 mg,
DP011,"Kacang panjang ,kukus",,,Sayuran,Olahan (Processed),,: 88.2 g,: 39 Kal,: 3.0 g,: 0.6 g,: 7.6 g,: 0.6 g,: 100 mg,: 91 mg,: 1.2 mg,: 28 mg,: 199.0 mg,: 0.11 mg,: 0.5 mg,: 0.10 mg,: 0.3 mg,: 1.7 g,: 0 mcg,: 131 mcg,: 205 mcg,: 0.02 mg,: 20 mg
CR029,"Kacang panjang, biji, kering (Yardlong bean, seeded, dried)",Vigna unguiculata cv. group Sesquipedalis,,Kacang-Kacangan,Mentah (Raw),,: 12.2 g,: 357 Kal,: 17.3 g,: 1.5 g,: 68.6 g,: 0.4 g,: 163 mg,: 437 mg,: 6.9 mg,: 16 mg,": 1,109.4 mg",: 0.35 mg,: 2.8 mg,: 0.98 mg,: 7.1 mg,: 10.6 g,: 0 mcg,": 2,182 mcg",,: 0.57 mg,: 2 mg
DP012,"Kacang panjang, rebus",,,Sayuran,Olahan (Processed),,: 90.9 g,: 30 Kal,: 2.3 g,: 0.4 g,: 5.8 g,: 0.6 g,: 71 mg,: 68 mg,: 0.8 mg,: 24 mg,: 114.5 mg,: 0.10 mg,: 0.4 mg,: 0.07 mg,: 0.2 mg,: 1.4 g,: 0 mcg,: 128 mcg,: 162 mcg,: 0.00 mg,: 15 mg
DR097,"Kacang panjang, segar (Yard-long bean, fresh)",Vigna unguiculata  Cv. group sesquipedalis,,Sayuran,Mentah (Raw),,: 91.8 g,: 31 Kal,: 2.3 g,: 0.1 g,: 5.3 g,: 0.5 g,: 60 mg,: 64 mg,: 0.6 mg,: 30 mg,: 213.0 mg,: 0.10 mg,: 0.5 mg,: 0.10 mg,: 0.3 mg,: 2.7 g,: 0 mcg,: 125 mcg,,: 0.70 mg,: 46 mg
DR098,Kacang ranti polong,,,Sayuran,Mentah (Raw),,: 88.5 g,: 37 Kal,: 3.1 g,: 0.2 g,: 7.9 g,: 0.3 g,: 103 mg,: 126 mg,: 0.8 mg,,,,,,,: 2.5 g,,,": 2,312 mcg",: 0.02 mg,: 6 mg
CP034,Kacang sukro,,,Kacang-Kacangan,Olahan (Processed),"Kacang atom dengan merk dagang ""sukro""",: 4.7 g,: 484 Kal,: 8.8 g,: 26.1 g,: 57.7 g,: 2.7 g,: 49 mg,: 194 mg,: 2.5 mg,,,,,,,: 1.8 g,,,: 0 mcg,: 0.06 mg,: 0 mg
CP011,Kacang tanah rebus dg kulit,,,Kacang-Kacangan,Olahan (Processed),,: 40.2 g,: 360 Kal,: 13.5 g,: 31.2 g,: 12.8 g,: 2.3 g,: 42 mg,: 177 mg,: 1.4 mg,: 32 mg,: 483.0 mg,: 1.60 mg,: 2.0 mg,: 0.13 mg,: 9.0 mg,,: 0 mcg,,,: 0.44 mg,: 5 mg
CR030,"Kacang tanah sangan (Groundnut, baked)",Arachis hypogaea,,Kacang-Kacangan,Mentah (Raw),,: 1.2 g,: 560 Kal,: 29.5 g,: 43.0 g,: 24.1 g,: 2.2 g,: 107 mg,: 366 mg,: 4.1 mg,: 34 mg,: 509.8 mg,: 1.69 mg,: 2.1 mg,: 0.30 mg,: 15.5 mg,: 2.9 g,,: 0 mcg,,: 0.31 mg,
CR031,"Kacang tanah sangan tanpa selaput (Groundnut, baked without husk)",Arachis hypogaea,,Kacang-Kacangan,Mentah (Raw),,: 2.6 g,: 559 Kal,: 26.9 g,: 44.2 g,: 23.6 g,: 2.7 g,: 74 mg,: 393 mg,: 1.9 mg,: 33 mg,: 202.3 mg,: 520.40 mg,: 1.7 mg,: 29.47 mg,: 8.0 mg,: 2.6 g,: 0 mcg,: 0 mcg,,: 0.30 mg,: 0 mg
CP035,Kacang tanah sari,,,Kacang-Kacangan,Olahan (Processed),,: 2.1 g,: 561 Kal,: 25.5 g,: 43.8 g,: 26.0 g,: 2.6 g,: 50 mg,: 324 mg,: 3.1 mg,,,,,,,: 2.2 g,,,: 0 mcg,: 0.08 mg,: 0 mg
CP012,"Kacang tanah, goreng",,,Kacang-Kacangan,Olahan (Processed),,: 2.5 g,: 564 Kal,: 25.5 g,: 44.4 g,: 25.5 g,: 2.8 g,: 106 mg,: 390 mg,: 4.1 mg,,,,,,,: 2.8 g,,,,: 0.40 mg,
CR032,"Kacang tanah, kering (Groundnut, dried)",Arachis hypogaea,,Kacang-Kacangan,Mentah (Raw),,: 9.6 g,: 525 Kal,: 27.9 g,: 42.7 g,: 17.4 g,: 2.4 g,: 316 mg,: 456 mg,: 5.7 mg,: 31 mg,: 466.5 mg,: 1.55 mg,: 1.9 mg,: 0.27 mg,: 1.4 mg,: 2.4 g,,: 0 mcg,: 30 mcg,: 0.44 mg,
CP013,"Kacang tanah, rebus",,,Kacang-Kacangan,Olahan (Processed),,: 62.1 g,: 220 Kal,: 10.6 g,: 18.0 g,: 8.0 g,: 1.3 g,: 89 mg,: 273 mg,: 1.9 mg,: 36 mg,: 536.2 mg,: 1.78 mg,: 2.2 mg,,,: 1.0 g,,,,: 0.10 mg,: 0 mg
CR033,"Kacang tolo / tunggak, kering (Cowpea, dried)",Vigna unguiculata,,Kacang-Kacangan,Mentah (Raw),,: 13.5 g,: 331 Kal,: 24.4 g,: 1.9 g,: 56.6 g,: 3.6 g,: 481 mg,: 399 mg,: 13.9 mg,: 15 mg,: 7.8 mg,: 1.03 mg,: 5.9 mg,: 0.20 mg,: 4.3 mg,: 1.6 g,,: 65 mcg,,: 0.06 mg,
CP014,"Kacang tolo, rebus",,,Kacang-Kacangan,Olahan (Processed),,: 64.4 g,: 138 Kal,: 10.7 g,: 1.1 g,: 22.6 g,: 1.2 g,: 165 mg,: 172 mg,: 4.0 mg,: 13 mg,: 6.7 mg,: 0.80 mg,: 6.1 mg,: 0.17 mg,: 3.2 mg,: 0.9 g,,,,: 0.01 mg,
CR034,"Kacang tunis, kering",,,Kacang-Kacangan,Mentah (Raw),,: 10.5 g,: 351 Kal,: 12.2 g,: 1.2 g,: 72.9 g,: 3.2 g,: 120 mg,: 220 mg,: 6.9 mg,: 1 mg,: 0.0 mg,: 1.40 mg,: 2.9 mg,: 0.13 mg,: 2.5 mg,: 29.5 g,,,,: 0.57 mg,
CR035,"Kacang uci, kering",,,Kacang-Kacangan,Mentah (Raw),,: 9.9 g,: 358 Kal,: 23.4 g,: 2.4 g,: 60.6 g,: 3.7 g,: 269 mg,: 264 mg,: 0.5 mg,: 13 mg,": 1,457.7 mg",: 0.35 mg,,: 0.20 mg,: 2.5 mg,: 7.4 g,,: 20 mcg,,: 0.10 mg,: 2 mg
CR036,"Kacang urei, kering (Rice bean )",Vigna umbellata,,Kacang-Kacangan,Mentah (Raw),,: 12.8 g,: 354 Kal,: 12.8 g,: 1.8 g,: 69.3 g,: 3.3 g,: 220 mg,: 220 mg,: 5.1 mg,: 1 mg,: 0.0 mg,: 0.70 mg,: 3.1 mg,: 0.05 mg,: 3.5 mg,: 26.1 g,,,,: 0.55 mg,
DP035,Kadada katembe,,,Sayuran,Olahan (Processed),,: 80.0 g,: 110 Kal,: 4.5 g,: 6.9 g,: 7.1 g,: 1.5 g,: 26 mg,: 77 mg,: 0.0 mg,: 178 mg,: 131.0 mg,: 0.20 mg,: 0.7 mg,,: 3.7 mg,: 3.9 g,,: 46 mcg,,: 0.10 mg,: 23 mg
GP072,"Kaholeo, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),Sambal goreng kering teri,: 11.2 g,: 413 Kal,: 28.7 g,: 19.8 g,: 29.8 g,: 10.5 g,: 909 mg,": 1,291 mg",: 0.0 mg,: 0 mg,": 1,171.0 mg",: 0.10 mg,: 3.1 mg,: 0.03 mg,: 5.7 mg,,": 4,236 mcg",,,: 1.34 mg,
AP054,Kakicak,,Banjarmasin,Serealia,Olahan (Processed),"nama lain hintakungkaruang, seperti candil berbahan dasar tepung ketan, terigu dan gula merah",: 43.9 g,: 296 Kal,: 3.4 g,: 15.1 g,: 36.7 g,: 0.9 g,,,,,,,,,,,,,,,
DR099,"Kalakai, segar",,,Sayuran,Mentah (Raw),,: 89.9 g,: 38 Kal,: 2.4 g,: 0.2 g,: 6.6 g,: 0.9 g,: 18 mg,: 90 mg,: 1.1 mg,: 7 mg,: 443.0 mg,: 0.40 mg,: 0.9 mg,: 0.10 mg,,: 5.8 g,,: 44 mcg,,: 0.30 mg,: 8 mg
FP049,"Kalio ayam, masakan",,,Daging,Olahan (Processed),,: 64.7 g,: 203 Kal,: 16.0 g,: 13.5 g,: 4.4 g,: 1.4 g,: 278 mg,: 177 mg,: 4.2 mg,: 534 mg,,,,,,,: 105 mcg,,": 3,780 mcg",: 0.35 mg,: 0 mg
FP050,"Kalio jeroan, masakan",,,Daging,Olahan (Processed),,: 68.9 g,: 163 Kal,: 16.5 g,: 9.0 g,: 4.1 g,: 1.5 g,: 102 mg,: 268 mg,: 7.1 mg,: 570 mg,,,,,,,: 298 mcg,,": 1,960 mcg",: 0.70 mg,: 0 mg
FP051,"Kalio kikil (tunjang), masakan",,,Daging,Olahan (Processed),,: 75.3 g,: 122 Kal,: 13.8 g,: 5.7 g,: 3.9 g,: 1.3 g,: 154 mg,: 59 mg,: 3.4 mg,: 519 mg,,,,,,,: 36 mcg,,": 1,440 mcg",: 0.38 mg,: 0 mg
FP052,"Kalio otak, masakan",,,Daging,Olahan (Processed),,: 70.3 g,: 157 Kal,: 8.1 g,: 8.8 g,: 11.4 g,: 1.4 g,: 212 mg,: 69 mg,: 3.3 mg,: 604 mg,,,,,,,: 32 mcg,,": 1,040 mcg",: 0.45 mg,: 0 mg
HP007,"Kalio telur, masakan",,,Telur,Olahan (Processed),,: 79.0 g,: 193 Kal,: 10.6 g,: 12.4 g,: 9.7 g,: 1.4 g,: 148 mg,: 246 mg,: 3.8 mg,: 540 mg,,,,,,,: 160 mcg,,": 3,600 mcg",: 0.44 mg,: 0 mg
FR019,"Kambing, daging, segar (Goat, meat, fresh)",Capra hircus,,Daging,Mentah (Raw),,: 70.3 g,: 149 Kal,: 16.6 g,: 9.2 g,: 0.0 g,: 3.9 g,: 11 mg,: 124 mg,: 1.0 mg,: 96 mg,: 268.7 mg,: 0.31 mg,: 4.9 mg,: 0.23 mg,: 5.0 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.09 mg,: 0 mg
AP055,Kambose,,Sulawesi Tenggara,Serealia,Olahan (Processed),Jagung pipil direbus,: 61.5 g,: 164 Kal,: 3.0 g,: 2.4 g,: 32.6 g,: 0.7 g,: 16 mg,: 36 mg,: 0.7 mg,: 0 mg,: 32.0 mg,: 0.10 mg,: 1.6 mg,: 0.10 mg,: 0.4 mg,: 4.3 g,: 0 mcg,: 256 mcg,,: 0.10 mg,
DR101,"Kangkung tondano (Kangkong, (tondano), fresh)",,,Sayuran,Mentah (Raw),,: 88.5 g,: 43 Kal,: 1.8 g,: 0.2 g,: 8.4 g,: 1.1 g,: 72 mg,: 9 mg,: 0.7 mg,: 30 mg,: 361.0 mg,: 0.30 mg,: 0.4 mg,: 0.10 mg,: 1.1 mg,: 4.3 g,,": 2,741 mcg",,: 0.80 mg,: 23 mg
DP013,"Kangkung, kukus",,,Sayuran,Olahan (Processed),,: 90.4 g,: 30 Kal,: 3.2 g,: 0.7 g,: 4.7 g,: 1.0 g,: 70 mg,: 49 mg,: 4.4 mg,: 45 mg,: 184.9 mg,: 0.10 mg,: 0.3 mg,: 0.28 mg,: 1.4 mg,: 1.8 g,: 0 mcg,": 2,370 mcg",": 5,837 mcg",: 0.03 mg,: 11 mg
DP014,"Kangkung, rebus",,,Sayuran,Olahan (Processed),,: 93.0 g,: 22 Kal,: 2.5 g,: 0.6 g,: 3.1 g,: 0.8 g,: 50 mg,: 51 mg,: 3.5 mg,: 31 mg,: 98.0 mg,: 0.10 mg,: 0.3 mg,: 0.22 mg,: 1.2 mg,: 1.2 g,: 0 mcg,": 2,370 mcg",": 4,325 mcg",: 0.01 mg,: 13 mg
DR100,"Kangkung, segar (Kangkong, fresh)",Ipomoea aquatica,,Sayuran,Mentah (Raw),,: 91.0 g,: 28 Kal,: 3.4 g,: 0.7 g,: 3.9 g,: 1.0 g,: 67 mg,: 54 mg,: 2.3 mg,: 65 mg,: 250.1 mg,: 0.13 mg,: 0.4 mg,: 0.36 mg,: 2.0 mg,: 2.0 g,,": 2,868 mcg",": 5,542 mcg",: 0.07 mg,: 17 mg
DP036,"Kaparende, sayur",,Parende,Sayuran,Olahan (Processed),sayur bening daun kelor + pepaya muda + ikan teri,: 91.7 g,: 38 Kal,: 2.4 g,: 2.0 g,: 2.6 g,: 1.3 g,: 126 mg,: 68 mg,: 0.0 mg,: 170 mg,: 43.0 mg,: 0.00 mg,: 0.3 mg,,: 3.7 mg,: 1.5 g,,: 40 mcg,,: 0.10 mg,: 22 mg
DR102,"Kapri muda, segar (Pease, fresh)",Pisum sativum,,Sayuran,Mentah (Raw),,: 86.8 g,: 45 Kal,: 3.3 g,: 0.2 g,: 9.0 g,: 0.7 g,: 51 mg,: 85 mg,: 1.0 mg,: 2 mg,: 118.4 mg,: 0.09 mg,: 0.7 mg,: 0.10 mg,: 0.9 mg,: 1.8 g,,: 72 mcg,: 440 mcg,: 0.20 mg,: 49 mg
BP032,Kapurung,,Sulawesi Selatan,Umbi Berpati,Olahan (Processed),"Bahan dasar terdiri dari Tepung sagu seperti papeda. Campuran ikan atau daging ayam atau udang dan aneka sayuran (bayam, kacang panjang, daun kacang, jantung)",: 79.6 g,: 41 Kal,: 2.0 g,: 0.3 g,: 7.8 g,: 0.6 g,: 34 mg,: 12 mg,: 0.3 mg,: 185 mg,: 566.0 mg,: 0.10 mg,: 0.3 mg,: 0.25 mg,: 2.7 mg,: 2.0 g,: 0 mcg,: 213 mcg,,: 0.12 mg,: 15 mg
AP056,Kapusa,,,Serealia,Olahan (Processed),Jagung pipil direbus dengan santan bersama kacang merah,: 63.5 g,: 158 Kal,: 4.4 g,: 3.2 g,: 27.8 g,: 1.0 g,: 79 mg,: 115 mg,: 1.2 mg,: 104 mg,: 149.0 mg,: 0.50 mg,: 1.1 mg,: 0.05 mg,: 0.1 mg,: 5.3 g,: 0 mcg,": 1,374 mcg",,: 0.06 mg,: 0 mg
DR103,Karawila,,,Sayuran,Mentah (Raw),,: 93.7 g,: 25 Kal,: 2.3 g,: 0.2 g,: 3.5 g,: 0.3 g,: 25 mg,: 67 mg,: 0.3 mg,: 8 mg,: 88.4 mg,: 0.08 mg,: 0.3 mg,: 0.10 mg,: 0.4 mg,: 2.1 g,,: 21 mcg,,: 0.10 mg,: 39 mg
DP037,"Karedok, sayur",,,Sayuran,Olahan (Processed),,: 79.0 g,: 92 Kal,: 2.2 g,: 3.3 g,: 14.1 g,: 1.4 g,: 174 mg,: 85 mg,: 2.4 mg,,,,,,,: 1.4 g,: 0 mcg,,: 1 mcg,: 0.08 mg,: 3 mg
ER042,"Kawista, segar (Wood apple, fresh)",Feromcela lucida,,Buah,Mentah (Raw),,: 71.8 g,: 120 Kal,: 3.5 g,: 2.5 g,: 20.8 g,: 1.4 g,: 190 mg,: 230 mg,: 1.6 mg,: 9 mg,": 1,015.6 mg",: 308.43 mg,: 0.4 mg,: 0.07 mg,: 0.4 mg,: 4.6 g,,: 99 mcg,,: 0.07 mg,: 3 mg
NP005,Kecap (Soyabean sauce),Glycine max,,Bumbu,Olahan (Processed),,: 63.0 g,: 71 Kal,: 5.7 g,: 1.3 g,: 9.0 g,: 21.0 g,: 123 mg,: 96 mg,: 5.7 mg,": 1,114 mg",,: 0.04 mg,,,,: 0.0 g,: 0 mcg,,,: 0.00 mg,: 0 mg
BP033,Kecimpring singkong goreng,,Bandung,Umbi Berpati,Olahan (Processed),"Seperti kerupuk singkong. Singkong diparut dicampur dengan bumbu, dipipihkan, dikukus, dijemur dan digoreng",: 3.7 g,: 464 Kal,: 1.2 g,: 18.6 g,: 73.0 g,: 3.5 g,: 82 mg,: 52 mg,: 3.4 mg,,,,,,,: 1.3 g,,,": 3,320 mcg",: 0.34 mg,: 0 mg
DR104,"Kecipir muda, segar (Winged bean, fresh)",Psophocarpus tetragonolobus,,Sayuran,Mentah (Raw),,: 90.4 g,: 32 Kal,: 2.9 g,: 0.2 g,: 5.8 g,: 0.7 g,: 63 mg,: 37 mg,: 0.3 mg,: 3 mg,: 103.8 mg,: 0.18 mg,: 0.4 mg,: 0.11 mg,: 0.7 mg,: 5.5 g,,: 261 mcg,: 595 mcg,: 0.24 mg,: 19 mg
DR105,"Kecombrang, segar (Red ginger lily, fresh)",Etlingera elatior,,Sayuran,Mentah (Raw),,: 90.0 g,: 34 Kal,: 0.9 g,: 1.0 g,: 6.7 g,: 1.4 g,: 60 mg,: 16 mg,: 1.0 mg,: 47 mg,: 650.6 mg,,,: 0.02 mg,: 0.8 mg,: 2.6 g,: 0 mcg,: 0 mcg,: 73 mcg,: 0.00 mg,: 0 mg
AP057,Keddo bodong,,,Serealia,Olahan (Processed),,: 33.9 g,: 290 Kal,: 4.6 g,: 5.7 g,: 55.2 g,: 0.6 g,,,,,,,,,,,,,,,
ER043,"Kedondong masak, segar (Ambarella, fresh)",Spondias cytherea,,Buah,Mentah (Raw),,: 88.0 g,: 46 Kal,: 1.0 g,: 0.1 g,: 10.3 g,: 0.6 g,: 15 mg,: 22 mg,: 2.8 mg,: 2 mg,: 216.2 mg,: 0.03 mg,: 0.1 mg,: 0.23 mg,: 0.3 mg,: 2.6 g,,: 164 mcg,: 233 mcg,: 0.08 mg,: 30 mg
ER044,"Kedondong, segar  (Ambarella, fresh)",Spondias cytherea,,Buah,Mentah (Raw),,: 87.8 g,: 47 Kal,: 0.5 g,: 0.2 g,: 10.4 g,: 0.6 g,: 7 mg,: 58 mg,: 0.8 mg,: 2 mg,: 0.0 mg,,: 0.2 mg,: 0.04 mg,: 0.4 mg,: 2.7 g,,: 167 mcg,,: 0.07 mg,: 32 mg
JP003,Keju,,,Susu,Olahan (Processed),,: 38.5 g,: 326 Kal,: 22.8 g,: 20.3 g,: 13.1 g,: 5.3 g,: 777 mg,: 338 mg,: 1.5 mg,": 1,410 mg",: 82.7 mg,: 0.03 mg,: 3.1 mg,: 0.37 mg,: 0.1 mg,: 0.0 g,: 227 mcg,: 128 mcg,,: 0.01 mg,: 1 mg
CP036,Keju kacang tanah (peanut butter),,,Kacang-Kacangan,Olahan (Processed),Nama lainnya adalah selai kacang atau pindakaas. Bahan dasar kacang tanah yang dihaluskan dicampur dengan gula,: 3.0 g,: 590 Kal,: 27.0 g,: 49.0 g,: 20.9 g,: 0.1 g,: 60 mg,: 360 mg,: 2.0 mg,: 355 mg,: 492.4 mg,: 0.57 mg,: 2.7 mg,: 0.20 mg,: 16.2 mg,: 1.6 g,: 0 mcg,: 0 mcg,,: 0.30 mg,: 0 mg
ER045,"Kelapa hutan, kering",,,Buah,Mentah (Raw),,: 6.0 g,: 623 Kal,: 2.0 g,: 52.1 g,: 36.5 g,: 3.4 g,: 120 mg,: 280 mg,: 3.8 mg,: 100 mg,: 460.0 mg,: 1.70 mg,: 1.9 mg,,: 0.2 mg,: 15.3 g,,,,,
QR001,"Kelapa muda, air, segar (Coconut, young,  water, fresh)",Cocos nucifera,,Minuman Non Alkohol,Mentah (Raw),,: 95.5 g,: 17 Kal,: 0.2 g,: 0.1 g,: 3.8 g,: 0.4 g,: 15 mg,: 8 mg,: 0.2 mg,: 1 mg,: 149.0 mg,: 0.04 mg,: 0.1 mg,: 0.00 mg,: 0.0 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.00 mg,: 1 mg
ER046,"Kelapa muda, daging, segar (Coconut, flesh, Young, fresh )",Cocos nucifera,,Buah,Mentah (Raw),,: 83.3 g,: 68 Kal,: 1.0 g,: 0.9 g,: 14.0 g,: 0.8 g,: 7 mg,: 30 mg,: 1.0 mg,: 18 mg,: 564.6 mg,: 0.14 mg,: 0.3 mg,: 0.02 mg,: 0.6 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.06 mg,: 4 mg
KR001,"Kelapa setengah tua, daging, segar (Coconut flesh, half mature, fresh)",Cocos nucifera,,Minyak/Lemak,Mentah (Raw),,: 70.0 g,: 180 Kal,: 4.0 g,: 15.0 g,: 10.0 g,: 1.0 g,: 8 mg,: 55 mg,: 1.3 mg,: 4 mg,: 317.7 mg,: 0.29 mg,: 2.9 mg,: 0.01 mg,: 0.1 mg,: 2.4 g,,: 0 mcg,: 10 mcg,: 0.05 mg,: 4 mg
KR002,"Kelapa tua, daging, segar (Coconut, flesh, old, fresh)",Cocos nucifera,,Minyak/Lemak,Mentah (Raw),,: 46.9 g,: 359 Kal,: 3.4 g,: 34.7 g,: 14.0 g,: 1.0 g,: 21 mg,: 98 mg,: 2.0 mg,: 3 mg,: 293.9 mg,: 0.44 mg,: 1.1 mg,: 0.00 mg,: 0.0 mg,: 4.7 g,: 0 mcg,: 0 mcg,,: 0.10 mg,: 2 mg
DR106,"Kelawi,kluwih, segar (Breadfruit, fresh)",Artocarpus altilis,,Sayuran,Mentah (Raw),,: 70.0 g,: 118 Kal,: 1.5 g,: 0.3 g,: 27.2 g,: 1.0 g,: 28 mg,: 32 mg,: 0.9 mg,: 2 mg,: 500.9 mg,: 0.09 mg,: 0.1 mg,: 0.03 mg,: 0.9 mg,: 5.0 g,,: 0 mcg,: 20 mcg,: 0.10 mg,: 19 mg
AP058,"Kelepon, kue",,,Serealia,Olahan (Processed),"Bahan dasar terdiri dari Tepung beras/ketan, parutan kelapa, gula merah (bentuk bulat hijau isi cairan gula merah)",: 49.6 g,: 215 Kal,: 3.7 g,: 3.7 g,: 41.8 g,: 1.2 g,: 232 mg,: 45 mg,: 3.3 mg,,,,,: 0.07 mg,: 0.2 mg,: 1.0 g,: 0 mcg,,: 872 mcg,: 0.09 mg,: 0 mg
FR020,"Kelinci, daging, segar (Rabbit, meat, fresh)",lepus nigricollis,,Daging,Mentah (Raw),,: 74.3 g,: 142 Kal,: 16.9 g,: 7.8 g,: 0.0 g,: 1.0 g,: 7 mg,: 350 mg,: 1.0 mg,: 49 mg,: 371.1 mg,,,: 0.11 mg,: 6.8 mg,: 0.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.11 mg,
ER047,"Kemang, segar (Kemang, fresh)",Mangifera kemanga,,Buah,Mentah (Raw),,: 86.5 g,: 48 Kal,: 1.0 g,: 0.2 g,: 11.9 g,: 0.4 g,: 10 mg,: 24 mg,: 0.1 mg,: 2 mg,: 88.6 mg,: 0.04 mg,: 0.1 mg,: 0.01 mg,: 0.3 mg,: 1.7 g,,: 318 mcg,: 6 mcg,: 0.08 mg,: 58 mg
CP037,Kembang tahu,,,Kacang-Kacangan,Olahan (Processed),Produk sampingan proses perebusan kedelai yang diambil dari endapan yang terkumpul di permukaan air perebusan kedelai,: 10.8 g,: 380 Kal,: 48.9 g,: 13.8 g,: 23.3 g,: 3.2 g,: 378 mg,: 781 mg,: 2.1 mg,: 55 mg,: 455.3 mg,: 0.68 mg,: 4.2 mg,: 0.08 mg,: 0.7 mg,: 0.0 g,,: 0 mcg,,: 0.15 mg,
