Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
BP060,Sagu Rendang,,Riau,Umbi Berpati,Olahan (Processed),Suatu produk sagu,: 8.2 g,: 364 Kal,: 0.1 g,: 0.2 g,: 90.5 g,: 1.0 g,: 13 mg,: 9 mg,: 3.9 mg,: 42 mg,: 15.1 mg,: 0.10 mg,: 0.1 mg,: 0.60 mg,: 0.8 mg,: 1.9 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
BR022,"Sagu singkong, kering (Cassava, starch, dried)",Manihot  esculenta,,Umbi Berpati,Mentah (Raw),,: 12.0 g,: 362 Kal,: 0.5 g,: 0.3 g,: 86.9 g,: 0.3 g,: 0 mg,: 0 mg,: 0.0 mg,,,,,,,,,: 0 mcg,: 0 mcg,: 0.00 mg,: 0 mg
BP061,Sagu sinole,,Ambon,Umbi Berpati,Olahan (Processed),"Nama lain karu-karu. Seperti dadar gulung. Sagu yang dicampur parutan kelapa, pala bubuk, kenari, dan gula aren",: 22.0 g,: 354 Kal,: 0.8 g,: 8.3 g,: 68.9 g,: 0.1 g,: 10 mg,: 30 mg,: 0.8 mg,: 30 mg,: 11.0 mg,: 0.20 mg,: 0.3 mg,,,,: 0 mcg,: 0 mcg,: 0 mcg,,: 0 mg
ER098,"Salak bali, segar (snake fruit, bali,fresh)",Salacca zalacca,,Buah,Mentah (Raw),,: 85.1 g,: 57 Kal,: 0.5 g,: 0.1 g,: 13.6 g,: 0.7 g,: 94 mg,: 25 mg,: 2.1 mg,,,: 0.08 mg,: 0.2 mg,,,: 1.3 g,: 0 mcg,: 3 mcg,: 37 mcg,: 0.00 mg,: 0 mg
ER099,"Salak medan, segar (snake fruit, medan, fresh)",Salacca sumatrana,,Buah,Mentah (Raw),,: 78.1 g,: 55 Kal,: 0.4 g,: 0.2 g,: 12.8 g,: 8.5 g,: 6 mg,: 46 mg,: 0.5 mg,: 39 mg,: 113.0 mg,: 0.20 mg,: 0.3 mg,: 0.03 mg,,: 3.2 g,: 0 mcg,: 4 mcg,,: 0.04 mg,: 58 mg
ER100,"Salak pondoh, segar (snake fruit, pondoh, fresh)",Salacca zalacca,,Buah,Mentah (Raw),,: 77.9 g,: 87 Kal,: 0.8 g,: 0.4 g,: 20.1 g,: 0.8 g,: 38 mg,: 31 mg,: 3.9 mg,,,: 0.08 mg,: 0.2 mg,: 0.12 mg,: 0.1 mg,: 0.0 g,: 0 mcg,,: 40 mcg,: 0.00 mg,: 8 mg
ER101,"Salak, segar (snake fruit, fresh)",Salacca zalacca,,Buah,Mentah (Raw),,: 78.0 g,: 77 Kal,: 0.4 g,,: 20.9 g,: 0.7 g,: 28 mg,: 18 mg,: 4.2 mg,,,: 0.08 mg,: 0.2 mg,,,,,: 4 mcg,: 0 mcg,: 0.04 mg,: 2 mg
EP010,Sale kesemek,,,Buah,Olahan (Processed),,: 25.0 g,: 296 Kal,: 1.1 g,: 0.6 g,: 71.4 g,: 1.8 g,,,,,,,,,,,,,,,: 3 mg
EP011,Sale pisang siam,,,Buah,Olahan (Processed),,: 28.9 g,: 281 Kal,: 2.4 g,: 0.7 g,: 66.1 g,: 2.0 g,: 41 mg,: 64 mg,: 1.2 mg,,,,,,,: 1.0 g,,,: 272 mcg,: 0.10 mg,: 0 mg
EP012,"Sale pisang, cilacap",,,Buah,Olahan (Processed),,: 27.1 g,: 295 Kal,: 2.3 g,: 2.1 g,: 66.9 g,: 1.7 g,: 47 mg,: 97 mg,: 2.8 mg,,,,,,,: 1.3 g,,,: 296 mcg,: 0.14 mg,
EP013,Sanggara belanda,,Pinrang,Buah,Olahan (Processed),"Snack: Pisang raja dicelupkan kedalam kocokan telur, digoreng, dibelah diisi mentega, keju, dan gula yang telah dikocok bersama.",: 47.1 g,: 242 Kal,: 6.4 g,: 7.1 g,: 38.2 g,: 1.2 g,,,,,,,,,,,,,,,
